Cod_ID,UDH_Atlas,NOME_UDH,CODMUN6,NOME_MUN,CODUF,NOME_UF,CODRM,NOME_RM,ANO,ESPVIDA,FECTOT,MORT1,MORT5,SOBRE40,SOBRE60,RAZDEP,T_ENV,E_ANOSESTUDO,T_ANALF11A14,T_ANALF15A17,T_ANALF15M,T_ANALF18A24,T_ANALF18M,T_ANALF25A29,T_ANALF25M,T_ATRASO_2_BASICO,T_ATRASO_2_FUND,T_FBBAS,T_FBFUND,T_FBMED,T_FBSUPER,T_FLBAS,T_FLFUND,T_FLMED,T_FLSUPER,T_FREQ0A5,T_FREQ15A17,T_FREQ18A24,T_FREQ25A29,T_FREQ5A6,T_FREQ6A14,T_FREQ6A17,T_FREQFUND1517,T_FREQFUND1824,T_FREQMED1824,T_FUND11A13,T_FUND15A17,T_FUND18A24,T_FUND18M,T_FUND25M,T_MED18A20,T_MED18A24,T_MED18M,T_MED25M,T_SUPER25M,CORTE1,CORTE2,CORTE3,CORTE4,CORTE9,GINI,PIND,PINDCRI,PMPOB,PMPOBCRI,PPOB,PPOBCRI,PREN10RICOS,PREN20,PREN20RICOS,PREN40,PREN60,PREN80,PRENTRAB,R1040,R2040,RDPC,RDPC1,RDPC10,RDPC2,RDPC3,RDPC4,RDPC5,RDPCT,RIND,RMPOB,RPOB,THEIL,P_AGRO,P_COM,P_CONSTR,P_EXTR,P_SERV,P_SIUP,P_TRANSF,CPR,EMP,P_FORMAL,TRABCC,TRABPUB,TRABSC,P_FUND,P_MED,P_SUPER,REN0,REN1,REN2,REN3,REN5,RENOCUP,THEILtrab,T_ATIV,T_ATIV1014,T_ATIV1517,T_ATIV1824,T_ATIV18M,T_ATIV2529,T_DES,T_DES1014,T_DES1517,T_DES1824,T_DES18M,T_DES2529,T_AGUA,T_BANAGUA,T_DENS,T_LIXO,T_LUZ,AGUA_ESGOTO,PAREDE,T_CRIFUNDIN_TODOS,T_FORA0A5,T_FORA6A14,T_FUNDIN_TODOS,T_FUNDIN_TODOS_MMEIO,T_FUNDIN18MINF,T_M10A17CF,T_MULCHEFEFIF014,T_NESTUDA_NTRAB_MMEIO,T_OCUPDESLOC_1,T_RMAXIDOSO,T_SLUZ,T_VULNERA_NESTUDA_NTRAB_MMEIO,T_VULNERA_MULCHEFE,T_VULNERA_RMAXIDOSO,T_VULNERA_OCUPDESLOC_13,HOMEM0A4,HOMEM10A14,HOMEM15A19,HOMEM20A24,HOMEM25A29,HOMEM30A34,HOMEM35A39,HOMEM40A44,HOMEM45A49,HOMEM50A54,HOMEM55A59,HOMEM5A9,HOMEM60A64,HOMEM65A69,HOMEM70A74,HOMEM75A79,HOMENS80,HOMEMTOT,MULH0A4,MULH10A14,MULH15A19,MULH20A24,MULH25A29,MULH30A34,MULH35A39,MULH40A44,MULH45A49,MULH50A54,MULH55A59,MULH5A9,MULH60A64,MULH65A69,MULH70A74,MULH75A79,MULHER80,MULHERTOT,PEA,PEA1014,PEA1517,PEA18M,PESO1,PESO1114,PESO1113,PESO1214,PESO13,PESO15,PESO1517,PESO1524,PESO1618,PESO18,PESO1820,PESO1824,PESO1921,PESO25,PESO4,PESO5,PESO6,PESO610,PESO617,PESO65,PESOM1014,PESOM1517,PESOM15M,PESOM25M,PESORUR,PESOTOT,PESOURB,PIA,PIA1014,PIA1517,PIA18M,POP,POPT,MULCHEFEFDOM,DOMVULNERACOMID,POPVULNERAVEL15A24,OCUPMMEIOD,T_FBFUND_tudo,T_FBMED_tudo,T_FBBAS_tudo,T_FLFUND_tudo,T_FLMED_tudo,T_FLBAS_tudo,T_FUND11A13_tudo,I_ESCOLARIDADE,I_FREQ_PROP,IDHM,IDHM_E,IDHM_L,IDHM_R
1240260000001,1240260000001,Jacó / Veados / São Pedro,240260,Ceará-Mirim (RN),24,RN,62400,RM Natal (RN),2000,"65,51","3,45","54,30","68,10","86,18","70,20","71,39","5,40","7,19","15,54","10,74","28,94","14,60","31,15","18,62","36,83","40,89","34,10","96,95","112,12","46,71","2,00","78,60","82,44","18,47","0,58","24,68","74,40","27,52","10,05","71,65","87,64","84,57","47,41","13,85","9,98","30,54","19,85","28,10","18,99","15,99","8,17","10,30","9,34","9,02","0,79","55,91","89,80","138,60","234,25","342,59","0,53","28,59","40,77","60,48","73,46","82,64","90,34","42,32","3,39","57,54","10,98","22,99","42,46","72,31","15,42","10,48","185,19","31,37","783,73","70,28","111,26","180,27","532,76","191,54","39,79","71,49","102,90","0,47","19,21","16,47","9,00","0,39","43,32","0,46","9,12","26,61","0,40","34,68","29,08","3,84","36,60","22,36","13,27","1,23","3,48","78,07","91,53","95,23","98,01","505,95","0,39",,"6,32","30,30","57,52","57,18","62,94",,"45,83","45,64","27,31","18,97","20,99","96,60","54,13","58,80","97,14","95,88","31,35",,"68,20","75,32","12,36","62,89","57,36","70,70","4,30","80,86","29,82",,"8,28","4,12","36,00","35,74","64,91",,947,860,820,777,586,500,438,309,260,232,185,907,120,105,86,91,86,7305,938,934,861,740,601,537,472,362,258,309,198,824,148,137,117,82,106,7620,,113,312,4853,410,1474,1133,1121,1118,9516,1029,3197,1031,8487,1003,2169,960,6319,358,331,402,1719,4221,807,934,541,4925,3324,0,14924,14924,11310,1794,1029,8487,14893,,,,,,"120,52","49,43","104,04","87,43","19,24","84,26","50,29","0,190","0,326","0,453","0,272","0,675","0,505"
1240260000003,1240260000003,Pitangui / Boa Esperança / Aningas / Maturaia de Baixo,240260,Ceará-Mirim (RN),24,RN,62400,RM Natal (RN),2000,"64,16","3,60","59,80","74,96","84,91","68,00","76,51","5,97","6,65","22,88","13,89","39,10","20,77","42,28","29,49","49,88","51,06","41,91","101,94","122,17","40,24","0,34","83,50","87,18","9,56","0,19","20,05","73,66","32,64","7,89","68,13","88,96","85,18","62,07","16,24","14,10","34,63","11,97","26,83","14,05","9,43","3,09","5,59","4,34","3,88","0,05","42,11","73,96","113,00","171,78","260,28","0,48","36,33","47,57","71,43","83,52","89,70","96,15","34,95","2,56","51,28","11,85","26,64","48,72","65,43","11,80","8,65","124,68","15,95","435,78","57,94","92,17","137,68","319,65","137,09","33,25","66,85","89,50","0,32","43,55","7,35","5,03","1,60","34,86","0,00","6,59","29,72","0,46","28,90","25,01","1,56","35,44","14,08","6,20","0,00","8,16","85,70","96,27","97,65","99,49","346,32","0,23",,"7,87","21,50","53,73","50,65","65,27",,"45,67","48,24","30,98","17,84","14,74","88,70","31,85","62,31","0,00","90,11","45,02",,"75,74","79,95","11,04","68,04","63,50","76,93","3,57","91,05","32,19",,"8,88","9,89","35,39","45,94","63,49",,698,737,696,615,406,391,310,235,175,168,156,736,144,113,84,67,79,5810,713,657,613,510,384,387,323,216,169,161,168,685,179,115,72,59,86,5497,,110,170,3185,292,1097,840,801,837,7081,792,2434,827,6289,781,1642,704,4647,282,304,313,1414,3303,675,657,368,3442,2319,11307,11307,0,8475,1394,792,6289,11122,,,,,,"125,41","41,10","104,60","89,60","9,96","85,07","55,29","0,141","0,295","0,405","0,231","0,653","0,441"
1240260000004,1240260000004,Jacoca / Catolé / Cavalcante / Poço Comprido / Jorge / Massagana,240260,Ceará-Mirim (RN),24,RN,62400,RM Natal (RN),2000,"64,16","3,60","59,80","74,96","84,91","68,00","80,43","5,99","6,65","26,42","21,77","42,41","25,84","45,28","33,03","52,13","51,06","41,91","101,94","122,17","40,24","0,34","83,50","87,18","9,56","0,19","20,05","73,66","32,64","7,89","68,13","88,96","85,18","62,07","16,24","14,10","34,63","11,97","26,83","14,05","9,43","3,09","5,59","4,34","3,88","0,05","42,11","73,96","113,00","171,78","260,28","0,48","36,33","47,57","71,43","83,52","89,70","96,15","34,95","2,56","51,28","11,85","26,64","48,72","65,43","11,80","8,65","124,68","15,95","435,78","57,94","92,17","137,68","319,65","137,09","33,25","66,85","89,50","0,32","43,55","7,35","5,03","1,60","34,86","0,00","6,59","29,72","0,46","28,90","25,01","1,56","35,44","14,08","6,20","0,00","8,16","85,70","96,27","97,65","99,49","346,32","0,23",,"7,87","21,50","53,73","50,65","65,27",,"45,67","48,24","30,98","17,84","14,74","81,52","31,85","62,31","0,00","90,11","45,02",,"75,74","79,95","11,04","68,04","63,50","76,93","3,57","91,05","32,19",,"8,88","9,89","35,39","45,94","63,49",,492,500,481,336,326,232,193,148,122,125,114,484,76,69,67,48,48,3855,489,455,435,352,227,211,185,137,118,117,118,453,76,74,47,45,50,3585,,75,120,2032,216,765,584,567,589,4569,558,1603,567,4011,522,1045,461,2966,176,196,193,931,2254,446,455,270,2189,1403,7440,7440,0,5524,955,558,4011,7221,,,,,,"125,41","41,10","104,60","89,60","9,96","85,07","55,29","0,141","0,295","0,405","0,231","0,653","0,441"
1240260000005,1240260000005,Capela / Carnaubal / São João / Gameleira,240260,Ceará-Mirim (RN),24,RN,62400,RM Natal (RN),2000,"64,16","3,60","59,80","74,96","84,91","68,00","78,32","5,60","6,65","22,37","17,39","41,80","22,62","45,06","31,75","52,89","51,06","41,91","101,94","122,17","40,24","0,34","83,50","87,18","9,56","0,19","20,05","73,66","32,64","7,89","68,13","88,96","85,18","62,07","16,24","14,10","34,63","11,97","26,83","14,05","9,43","3,09","5,59","4,34","3,88","0,05","42,11","73,96","113,00","171,78","260,28","0,48","36,33","47,57","71,43","83,52","89,70","96,15","34,95","2,56","51,28","11,85","26,64","48,72","65,43","11,80","8,65","124,68","15,95","435,78","57,94","92,17","137,68","319,65","137,09","33,25","66,85","89,50","0,32","43,55","7,35","5,03","1,60","34,86","0,00","6,59","29,72","0,46","28,90","25,01","1,56","35,44","14,08","6,20","0,00","8,16","85,70","96,27","97,65","99,49","346,32","0,23",,"7,87","21,50","53,73","50,65","65,27",,"45,67","48,24","30,98","17,84","14,74","88,87","31,85","62,31","0,00","90,11","45,02",,"75,74","79,95","11,04","68,04","63,50","76,93","3,57","91,05","32,19",,"8,88","9,89","35,39","45,94","63,49",,330,335,309,230,159,146,120,98,83,104,81,287,52,36,35,32,35,2466,266,312,259,223,158,147,108,89,79,101,82,303,57,36,34,31,31,2312,,51,75,1316,128,537,414,405,347,2947,348,1020,360,2599,327,672,303,1927,121,114,151,586,1471,268,312,161,1432,951,4778,4778,0,3594,647,348,2599,4286,,,,,,"125,41","41,10","104,60","89,60","9,96","85,07","55,29","0,141","0,295","0,405","0,231","0,653","0,441"
1240260000006,1240260000006,Cosmo / São Pedro / Tamanduá / Santa Maria / Santo Antonio / Bom Jesus / Maturaia de Cima,240260,Ceará-Mirim (RN),24,RN,62400,RM Natal (RN),2000,"64,16","3,60","59,80","74,96","84,91","68,00","80,21","4,55","6,65","20,98","16,16","41,60","24,40","45,14","32,88","51,79","51,06","41,91","101,94","122,17","40,24","0,34","83,50","87,18","9,56","0,19","20,05","73,66","32,64","7,89","68,13","88,96","85,18","62,07","16,24","14,10","34,63","11,97","26,83","14,05","9,43","3,09","5,59","4,34","3,88","0,05","42,11","73,96","113,00","171,78","260,28","0,48","36,33","47,57","71,43","83,52","89,70","96,15","34,95","2,56","51,28","11,85","26,64","48,72","65,43","11,80","8,65","124,68","15,95","435,78","57,94","92,17","137,68","319,65","137,09","33,25","66,85","89,50","0,32","43,55","7,35","5,03","1,60","34,86","0,00","6,59","29,72","0,46","28,90","25,01","1,56","35,44","14,08","6,20","0,00","8,16","85,70","96,27","97,65","99,49","346,32","0,23",,"7,87","21,50","53,73","50,65","65,27",,"45,67","48,24","30,98","17,84","14,74","97,98","31,85","62,31","0,00","90,11","45,02",,"75,74","79,95","11,04","68,04","63,50","76,93","3,57","91,05","32,19",,"8,88","9,89","35,39","45,94","63,49",,345,332,316,215,197,167,136,107,75,86,74,351,66,36,34,17,26,2580,336,297,251,204,168,149,117,88,82,95,73,297,53,34,23,19,34,2320,,50,77,1308,134,510,377,381,421,2942,359,986,358,2583,301,627,277,1956,126,148,144,619,1488,223,297,175,1390,935,4900,4900,0,3571,629,359,2583,4802,,,,,,"125,41","41,10","104,60","89,60","9,96","85,07","55,29","0,141","0,295","0,405","0,231","0,653","0,441"
1240260000007,1240260000007,Maçaranduba de Ceará-Mirim,240260,Ceará-Mirim (RN),24,RN,62400,RM Natal (RN),2000,"65,51","3,45","54,30","68,10","86,18","70,20","70,04","6,26","7,19","17,12","7,23","33,94","16,11","36,90","21,31","43,49","40,89","34,10","96,95","112,12","46,71","2,00","78,60","82,44","18,47","0,58","24,68","74,40","27,52","10,05","71,65","87,64","84,57","47,41","13,85","9,98","30,54","19,85","28,10","18,99","15,99","8,17","10,30","9,34","9,02","0,79","55,91","89,80","138,60","234,25","342,59","0,53","28,59","40,77","60,48","73,46","82,64","90,34","42,32","3,39","57,54","10,98","22,99","42,46","72,31","15,42","10,48","185,19","31,37","783,73","70,28","111,26","180,27","532,76","191,54","39,79","71,49","102,90","0,47","19,21","16,47","9,00","0,39","43,32","0,46","9,12","26,61","0,40","34,68","29,08","3,84","36,60","22,36","13,27","1,23","3,48","78,07","91,53","95,23","98,01","505,95","0,39",,"6,32","30,30","57,52","57,18","62,94",,"45,83","45,64","27,31","18,97","20,99","99,14","54,13","58,80","97,14","95,88","31,35",,"68,20","75,32","12,36","62,89","57,36","70,70","4,30","80,86","29,82",,"8,28","4,12","36,00","35,74","64,91",,62,78,75,58,61,43,41,29,29,14,19,88,18,9,8,7,9,648,80,67,64,66,61,34,29,30,23,17,23,71,17,18,11,7,11,629,,9,25,428,28,111,87,84,88,831,83,263,93,748,90,180,83,568,26,38,36,155,349,80,67,39,411,281,1277,1277,0,976,145,83,748,1277,,,,,,"120,52","49,43","104,04","87,43","19,24","84,26","50,29","0,190","0,326","0,453","0,272","0,675","0,505"
1240260000008,1240260000008,Centro de Ceará Mirim,240260,Ceará-Mirim (RN),24,RN,62400,RM Natal (RN),2000,"69,15","1,93","40,35","51,52","89,35","76,02","59,42","7,49","10,03","4,91","4,07","15,80","6,07","16,98","6,00","20,17","27,09","20,24","111,92","117,66","93,35","11,38","88,58","91,30","31,26","4,54","31,80","84,13","36,52","12,83","85,75","95,96","93,17","43,86","11,74","17,79","61,17","39,54","60,11","42,98","38,27","23,04","28,46","25,66","24,89","3,49","112,73","190,82","297,47","575,87","845,91","0,49","8,74","12,83","26,84","37,96","50,80","61,54","35,05","3,78","53,29","11,75","24,98","46,71","63,65","11,93","9,07","378,19","71,39","1325,40","150,80","250,10","411,02","1007,65","379,58","46,37","84,98","134,41","0,42","3,93","21,51","6,12","0,14","53,40","2,15","11,62","22,43","1,21","56,81","43,98","9,11","21,39","57,46","39,08","5,38","1,88","48,94","80,55","88,26","95,58","818,45","0,38",,"2,15","25,17","56,35","55,09","74,99",,"29,42","47,68","34,00","17,68","18,60","99,05","91,44","38,98","98,01","99,93","2,88",,"34,51","68,20","4,04","30,79","19,87","47,85","2,10","56,94","19,27",,"7,35","0,07","37,02","26,66","56,59",,737,853,843,803,584,547,488,393,311,302,224,800,175,124,133,108,134,7555,751,839,875,797,665,649,588,473,387,341,279,760,265,198,165,146,187,8361,,36,256,5596,305,1365,1015,1019,895,11177,1019,3317,1076,10158,1071,2299,1032,7860,289,322,320,1564,3947,1192,839,528,6012,4340,0,15915,15915,12869,1692,1019,10158,15770,,,,,,"125,13","99,86","119,16","96,63","37,57","94,22","80,73","0,430","0,524","0,607","0,491","0,736","0,620"
1240260000009,1240260000009,Muriu,240260,Ceará-Mirim (RN),24,RN,62400,RM Natal (RN),2000,"65,51","3,45","54,30","68,10","86,18","70,20","68,66","5,18","7,19","18,18","14,10","34,33","21,28","36,32","28,10","40,99","40,89","34,10","96,95","112,12","46,71","2,00","78,60","82,44","18,47","0,58","24,68","74,40","27,52","10,05","71,65","87,64","84,57","47,41","13,85","9,98","30,54","19,85","28,10","18,99","15,99","8,17","10,30","9,34","9,02","0,79","55,91","89,80","138,60","234,25","342,59","0,53","28,59","40,77","60,48","73,46","82,64","90,34","42,32","3,39","57,54","10,98","22,99","42,46","72,31","15,42","10,48","185,19","31,37","783,73","70,28","111,26","180,27","532,76","191,54","39,79","71,49","102,90","0,47","19,21","16,47","9,00","0,39","43,32","0,46","9,12","26,61","0,40","34,68","29,08","3,84","36,60","22,36","13,27","1,23","3,48","78,07","91,53","95,23","98,01","505,95","0,39",,"6,32","30,30","57,52","57,18","62,94",,"45,83","45,64","27,31","18,97","20,99","96,27","54,13","58,80","97,14","95,88","31,35",,"68,20","75,32","12,36","62,89","57,36","70,70","4,30","80,86","29,82",,"8,28","4,12","36,00","35,74","64,91",,79,84,73,73,52,41,49,29,28,18,21,84,14,12,4,9,9,679,71,72,63,57,69,53,45,29,28,21,16,90,22,11,12,6,7,672,,10,24,453,29,121,89,89,85,871,78,266,84,793,84,188,74,605,36,39,33,170,369,70,72,31,439,319,1351,1351,0,1027,156,78,793,1312,,,,,,"120,52","49,43","104,04","87,43","19,24","84,26","50,29","0,190","0,326","0,453","0,272","0,675","0,505"
1240260000010,1240260000010,Jacumã,240260,Ceará-Mirim (RN),24,RN,62400,RM Natal (RN),2000,"65,51","3,45","54,30","68,10","86,18","70,20","62,20","5,26","7,19","13,64","13,33","33,43","21,11","35,28","20,00","40,68","40,89","34,10","96,95","112,12","46,71","2,00","78,60","82,44","18,47","0,58","24,68","74,40","27,52","10,05","71,65","87,64","84,57","47,41","13,85","9,98","30,54","19,85","28,10","18,99","15,99","8,17","10,30","9,34","9,02","0,79","55,91","89,80","138,60","234,25","342,59","0,53","28,59","40,77","60,48","73,46","82,64","90,34","42,32","3,39","57,54","10,98","22,99","42,46","72,31","15,42","10,48","185,19","31,37","783,73","70,28","111,26","180,27","532,76","191,54","39,79","71,49","102,90","0,47","19,21","16,47","9,00","0,39","43,32","0,46","9,12","26,61","0,40","34,68","29,08","3,84","36,60","22,36","13,27","1,23","3,48","78,07","91,53","95,23","98,01","505,95","0,39",,"6,32","30,30","57,52","57,18","62,94",,"45,83","45,64","27,31","18,97","20,99","97,12","54,13","58,80","97,14","95,88","31,35",,"68,20","75,32","12,36","62,89","57,36","70,70","4,30","80,86","29,82",,"8,28","4,12","36,00","35,74","64,91",,24,27,32,31,22,26,12,9,8,11,9,30,6,4,4,1,3,259,32,34,31,26,23,23,12,12,7,11,9,29,8,5,4,2,5,273,,4,9,186,17,44,32,33,27,356,30,120,34,326,45,90,42,236,12,13,9,63,137,28,34,14,178,121,532,532,0,417,61,30,326,520,,,,,,"120,52","49,43","104,04","87,43","19,24","84,26","50,29","0,190","0,326","0,453","0,272","0,675","0,505"
1240325100001,1240325100001,Parque Aristofánes Fernandes,240325,Parnamirim (RN),24,RN,62400,RM Natal (RN),2000,"72,83","1,77","29,30","37,06","92,22","81,73","67,55","1,56","10,37","7,46","5,63","25,29","13,29","27,58","19,11","32,39","17,91","13,01","110,51","114,19","99,86","26,74","91,43","94,20","47,17","11,57","48,38","84,63","40,79","13,31","96,94","96,85","93,71","32,11","5,85","18,22","70,46","53,88","72,63","63,50","61,50","37,69","40,85","45,37","46,36","11,58","195,21","351,38","556,35","976,05","1545,40","0,50","3,41","5,63","11,81","19,56","27,64","38,19","37,64","3,38","55,19","11,24","23,93","44,81","67,11","13,39","9,82","695,40","117,44","2617,58","273,40","441,08","726,12","1918,95","695,40","50,06","86,60","146,98","0,47","1,50","19,39","4,56","0,29","63,90","0,57","8,70","22,59","2,51","62,24","42,91","13,99","16,20","73,57","56,43","13,80","1,80","36,64","64,59","74,09","90,30","1223,29","0,44",,"3,13","23,58","68,49","66,20","80,27",,"29,60","47,51","31,94","15,01","18,74","99,12","96,39","26,72","97,82","99,88","0,20",,"19,99","51,62","3,15","15,51","9,70","30,38","2,70","32,27","9,19",,"1,79","0,12","32,13","14,31","52,62",,89,67,67,59,68,63,48,28,22,14,9,71,8,2,4,1,4,619,99,75,67,61,55,56,43,32,19,17,10,85,6,4,4,2,1,632,,4,19,455,38,114,81,87,114,767,80,253,77,687,78,173,72,514,36,41,26,142,336,20,75,39,374,247,0,1251,1251,909,142,80,687,1245,,,,,,"119,47","112,67","117,73","96,85","51,61","94,44","83,79","0,635","0,647","0,717","0,643","0,797","0,718"
1240325100002,1240325100002,Conjunto Habitacional Augusto Severo,240325,Parnamirim (RN),24,RN,62400,RM Natal (RN),2000,"74,21","1,58","25,50","32,29","93,18","83,77","46,89","3,05","10,80","5,21","2,25","7,89","5,22","8,69","5,63","9,62","15,03","9,53","106,39","111,31","92,51","42,88","90,27","93,64","49,02","17,29","48,99","89,39","40,69","20,51","90,64","97,89","95,67","29,67","3,55","14,62","80,77","54,86","79,87","76,90","76,12","46,62","52,27","60,94","63,22","17,18","288,42","553,09","878,44","1366,46","1952,09","0,47","1,58","2,25","7,38","10,94","18,64","24,97","33,22","3,42","50,10","12,12","26,72","49,90","77,53","10,96","8,27","950,94","162,82","3158,75","413,52","693,93","1102,43","2381,97","950,94","51,94","91,40","154,98","0,42","0,84","20,45","5,06","1,20","62,18","0,29","8,41","16,34","3,70","67,11","47,47","14,70","16,16","84,67","73,07","19,69","1,73","25,11","50,28","61,53","78,01","1779,46","0,47",,"2,20","25,92","66,32","70,38","83,82",,"25,13","40,83","27,91","12,97","12,31","100,00","98,53","20,32","98,18","99,61","0,28",,"13,25","51,01","2,11","9,05","5,77","19,51","0,33","20,44","5,78",,"0,29","0,39","30,02","11,10","16,12",,49,57,66,42,28,40,45,44,37,15,11,37,4,3,3,6,3,490,36,55,70,45,43,51,44,38,30,22,7,59,9,1,6,4,5,525,,2,23,446,14,96,66,74,53,722,89,223,79,633,68,134,70,499,18,23,16,89,274,31,55,45,375,260,0,1015,1015,834,112,89,633,998,,,,,,"120,41","108,77","117,36","97,89","53,95","95,84","87,57","0,769","0,682","0,765","0,710","0,820","0,768"
1240325100003,1240325100003,Bela Parnamirim,240325,Parnamirim (RN),24,RN,62400,RM Natal (RN),2000,"65,80","3,20","53,10","66,67","86,45","70,68","77,39","3,18","7,44","20,33","18,06","31,33","19,48","32,83","22,15","37,63","41,16","34,06","96,81","112,67","46,06","2,02","81,46","87,99","16,30","0,59","22,57","64,15","23,45","11,14","68,21","90,03","83,87","43,22","9,00","10,94","39,66","18,06","35,28","23,16","19,30","11,22","14,04","10,15","8,92","0,46","73,69","120,38","160,46","244,01","391,39","0,46","18,71","25,74","47,59","58,37","81,05","88,82","36,15","4,62","51,58","14,38","28,66","48,42","79,24","10,06","7,17","197,72","45,65","714,79","96,49","141,24","195,33","509,91","202,90","43,62","80,12","121,26","0,33","6,69","15,47","15,22","0,11","39,50","0,57","19,27","22,29","0,87","47,11","41,54","3,25","28,97","27,73","12,48","0,45","3,26","72,77","92,66","95,65","97,99","514,39","0,30",,"9,31","34,59","72,35","66,20","71,78",,"48,40","32,05","27,04","19,69","17,70","96,29","63,51","56,54","84,30","98,19","15,79",,"65,65","77,43","9,97","60,59","53,24","60,44","5,45","91,44","28,06",,"3,62","1,81","34,95","56,50","45,60",,402,323,256,249,238,215,153,109,83,69,49,352,40,20,27,15,31,2631,364,290,278,251,236,192,142,95,75,60,55,341,43,20,25,10,15,2492,,57,107,1815,178,487,376,370,455,3051,310,1034,330,2741,323,724,302,2017,133,168,146,651,1448,163,290,163,1497,968,5123,5123,0,3664,613,310,2741,5099,,,,,,"119,00","48,62","102,24","90,03","17,25","83,87","58,55","0,232","0,343","0,472","0,301","0,680","0,515"
1240325100004,1240325100004,Boa Esperança,240325,Parnamirim (RN),24,RN,62400,RM Natal (RN),2000,"71,72","2,39","32,60","41,13","91,40","80,06","47,19","4,92","9,20","2,55","1,62","10,59","2,87","11,51","4,36","14,11","25,97","18,88","105,80","118,45","64,28","9,45","87,76","93,27","21,75","5,21","34,76","77,23","27,90","7,39","80,02","94,02","90,10","46,22","9,84","11,38","56,34","27,62","51,76","42,56","39,61","26,81","30,32","27,99","27,25","3,37","104,11","172,43","292,81","585,63","851,11","0,67","9,07","13,18","30,61","39,92","56,02","67,78","57,31","2,53","69,97","7,58","15,57","30,03","87,74","30,24","18,46","549,39","69,51","3148,57","138,75","219,45","397,09","1922,17","552,20","45,43","88,42","133,55","0,84","1,87","22,39","9,33","0,00","50,66","0,19","14,30","22,52","1,99","56,17","43,53","8,43","22,89","51,81","36,95","4,15","0,64","50,18","76,81","85,90","94,18","1441,15","0,90",,"4,27","24,40","64,04","65,10","74,47",,"48,12","24,73","32,96","16,61","13,57","99,98","90,23","48,83","94,91","99,50","3,60",,"42,52","65,24","5,98","36,85","27,42","47,03","2,58","70,83","20,45",,"1,70","0,50","37,28","35,96","34,79",,223,303,340,261,226,213,196,186,123,99,70,227,63,33,24,28,32,2647,208,287,327,280,233,244,228,193,157,115,92,237,71,57,36,20,39,2824,,25,91,2353,89,471,345,365,247,3986,371,1208,404,3615,422,837,391,2778,95,98,91,485,1327,269,287,189,2092,1485,0,5471,5471,4576,590,371,3615,5462,,,,,,"122,69","67,81","109,88","93,79","24,97","90,27","78,63","0,426","0,477","0,624","0,459","0,779","0,680"
1240325100005,1240325100005,Cajupiranga,240325,Parnamirim (RN),24,RN,62400,RM Natal (RN),2000,,,,,,,,,,"19,23","9,90","33,69","19,00","36,62","36,17","42,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"95,44",,,,,,,,,,,,,,,,,,,,,,,16,13,11,8,9,9,10,6,3,3,2,14,1,2,1,0,0,109,15,10,12,11,11,8,6,5,4,3,2,13,1,1,1,1,0,103,,,,,8,19,14,14,17,132,14,43,14,117,13,29,12,89,6,6,6,25,58,6,10,7,66,42,212,212,0,,,,,,,,,,,,,,,,,,,,,,,
1240325100006,1240325100006,Aeroporto / Base Áerea Natal,240325,Parnamirim (RN),24,RN,62400,RM Natal (RN),2000,"75,50","1,38","22,20","28,13","94,03","85,61","45,99","0,85","11,24","0,00","0,00","0,00","0,00","0,00","0,00","0,00","15,11","9,96","110,69","118,55","98,14","52,42","89,65","95,22","57,14","34,20","49,05","92,13","55,07","21,53","89,74","99,46","96,64","23,31","3,50","13,76","75,36","69,08","84,18","76,04","73,61","56,44","64,76","63,73","63,42","28,49","358,21","732,52","1251,78","2163,31","3172,15","0,52","2,37","6,65","4,98","11,74","12,03","20,83","38,36","2,79","55,41","9,89","22,74","44,59","64,58","15,51","11,20","1507,72","210,23","5783,66","535,66","968,50","1647,13","4177,07","1507,72","50,66","78,64","146,20","0,54","1,45","16,36","3,22","0,21","70,01","0,42","7,43","17,18","6,71","71,29","45,64","15,35","14,00","87,06","77,03","34,86","1,13","25,31","49,22","56,95","71,43","2395,06","0,65",,"1,91","20,16","62,20","61,56","81,36",,"52,96","35,55","31,91","13,62","12,21","100,00","97,95","15,28","99,72","100,00","0,00",,"11,23","50,95","0,54","7,12","3,65","18,82","1,63","18,72","2,78",,"1,59","0,00","22,39","5,16","67,17",,19,21,15,8,33,50,27,23,8,4,0,29,1,1,0,1,0,240,26,18,8,15,37,45,24,14,5,3,2,32,2,1,0,0,1,233,,1,3,192,8,30,23,22,26,328,16,46,16,312,12,30,12,282,11,13,10,57,103,4,18,3,157,134,473,473,0,367,39,16,312,447,,,,,,"130,09","109,58","122,19","99,46","66,89","96,91","91,24","0,760","0,727","0,806","0,738","0,842","0,842"
